Seed,Scheme,Approach,w1,b1,b2,wy,by,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,MCAR_0.5,self_training,,,,,,1.0,RandomForestClassifier,52.0,0.8076923076923077,0.826797385620915,0.8387096774193549,0.8954248366013071,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9285714285714286, 0.8888888888888888, 0.9, 0.875, 0.8846153846153846, 0.8303571428571428, 0.7555555555555555, 0.7712418300653594, 0.7836257309941521, 0.75, 0.759090909090909, 0.7666666666666666, 0.773076923076923, 0.7785714285714285]"
0,MCAR_0.5,self_training,,,,,,1.0,XGBClassifier,52.0,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.9542483660130718,"[1.0, 1.0, 1.0, 1.0, 0.9166666666666667, 0.9285714285714286, 0.9375, 0.9444444444444444, 0.9090909090909092, 0.8846153846153846, 0.8666666666666667, 0.875, 0.8611111111111112, 0.85, 0.8636363636363636, 0.8140096618357487, 0.775, 0.7846153846153847, 0.7928571428571429]"
0,MCAR_0.5,label_propagation,,,,,,,,52.0,0.7307692307692307,0.7679738562091503,0.7586206896551724,0.8366013071895425,"[0.5017241379310345, 0.503448275862069, 0.5379310344827586, 0.5896551724137931, 0.6241379310344828, 0.6586206896551725, 0.6586206896551725, 0.6586206896551725, 0.6586206896551725, 0.6586206896551725, 0.6586206896551725, 0.6586206896551725, 0.6586206896551725, 0.6586206896551725]"
0,MCAR_0.8,naive,,,,,,,,76.0,0.6923076923076923,0.7124183006535948,0.7333333333333333,0.7647058823529412,[]
0,MCAR_0.8,self_training,,,,,,1.0,SVC,76.0,0.5,0.565359477124183,0.48,0.5228758169934641,"[0.0, 0.0, 0.125, 0.1, 0.14285714285714285, 0.16666666666666666, 0.15, 0.16666666666666666, 0.25384615384615383, 0.2967032967032967, 0.3205128205128205, 0.37857142857142856, 0.41875, 0.3877005347593583, 0.3923444976076555, 0.4199134199134199, 0.39920948616600793, 0.375, 0.3782051282051282, 0.4145299145299145, 0.39920424403183025, 0.430952380952381, 0.4330357142857143, 0.4606060606060606, 0.46190476190476193, 0.4630630630630631, 0.45559210526315785, 0.44375]"
0,MCAR_0.8,self_training,,,,,,1.0,LogisticRegression,76.0,0.6923076923076923,0.6862745098039216,0.75,0.7843137254901962,"[1.0, 0.8333333333333333, 0.8, 0.7857142857142857, 0.7777777777777778, 0.8, 0.8181818181818181, 0.8333333333333333, 0.8214285714285714, 0.8333333333333333, 0.84375, 0.8529411764705883, 0.7973856209150327, 0.7865497076023391, 0.8, 0.8116883116883117, 0.821969696969697, 0.8125, 0.7827380952380952, 0.7747252747252746, 0.7678571428571428, 0.7619047619047619, 0.7566964285714286, 0.7521008403361344, 0.7619047619047619, 0.7711711711711712, 0.7796052631578947, 0.7875]"
0,MCAR_0.8,self_training,,,,,,1.0,RandomForestClassifier,76.0,0.8846153846153846,0.8856209150326797,0.9090909090909091,0.9084967320261439,"[1.0, 1.0, 0.875, 0.9, 0.9166666666666667, 0.875, 0.8888888888888888, 0.9, 0.9090909090909092, 0.8125, 0.7946428571428572, 0.8111111111111111, 0.825, 0.8111111111111111, 0.8, 0.8116883116883117, 0.821969696969697, 0.8125, 0.8044871794871795, 0.7976190476190477, 0.8063660477453581, 0.8002481389578164, 0.7948717948717949, 0.8025210084033614, 0.7619047619047619, 0.7576576576576577, 0.7220394736842105, 0.73125]"
0,MCAR_0.8,self_training,,,,,,1.0,XGBClassifier,76.0,0.6538461538461539,0.6830065359477124,0.6896551724137931,0.7973856209150327,"[0.5, 0.5, 0.2, 0.5, 0.5, 0.5, 0.606060606060606, 0.6025641025641025, 0.6, 0.5980392156862745, 0.6527777777777778, 0.65, 0.6857142857142857, 0.7121212121212122, 0.7329192546583851, 0.7285714285714285, 0.7248677248677249, 0.6851851851851851, 0.7035714285714285, 0.7, 0.696875, 0.7121212121212122, 0.7254901960784315, 0.6846153846153846, 0.681912681912682, 0.6954887218045113, 0.6928571428571428, 0.6715447154471544]"
0,MCAR_0.8,label_propagation,,,,,,,,76.0,0.5384615384615384,0.6209150326797386,0.5,0.69281045751634,"[0.5365853658536586, 0.5297256097560976, 0.510670731707317, 0.5350609756097561, 0.5594512195121951, 0.5525914634146342, 0.5647865853658537, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926, 0.5579268292682926]"
0,MAR1,naive,1.0,0.0,,,,,,54.67,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.9411764705882353,[]
